Title,Price,Description,Origin,Weight,Size,Category
VASSE FELIX CABERNET SAUVIGNON 750 ML,"LKR 15,300.00",This is world class Cabernet and sits among the very best! Vasse Felix’s signature bay leaf in a profoundly high quality bath of tightly packed blackberry & black currants. Fantastic length and cellaring potential!,-,-,750ML,Red Wine
MILLAMAN ESTATE RESERVA SAUVIGNON BLANC 750 ML,"LKR 4,900.00","The wine is clear bright medium lemon color with a slight green tinge. Fresh forward nose, with citrus and tropical overtones suggestive of papaya and pineapple.",-,-,750ML,White Wine
BELL HOMESTEAD SAUVIGNON BLANC 750ML,"LKR 7,300.00","Beautiful light, pale yellow with a golden tinge, featuring soft melon, pear and citrus flavours on the nose. The palate offers an unexpected burst of citrus and tropical flavours with a crisp and clean finish.",-,-,750ML,White Wine
MILLAMAN ESTATE RESERVA CHARDONNAY 750 ML,"LKR 4,900.00","The wine is a clear bright pale gold in appearance. It has a clean, fresh and fragrant nose with floral and tropical nuances accompanied by subtle hints of apple and melon along with pineapple accents as it develops in the glass.",-,-,750ML,White Wine
BELL HOMESTEAD CHARDONNAY 750 ML,"LKR 7,300.00","This Chardonnay is a rich yellow colour tinged with a copper glow and boasts a delightful bouquest of butterscotch, spicy cloves and orange peel. Layers of citrus and melon line the palate, finishing on a fresh citrus-lime note.",-,-,750ML,White Wine
JMF ROSE D ANJOU 750 ML,"LKR 5,800.00","Bright pink in colour, nose reminiscent of sugared fruits, redcurrant jelly and quince. Soft and unctuous in the mouth, velvety with notes of lemon and strawberry.",-,-,750ML,Red Wine
PUNT ROAD SHIRAZ DOMESTIC,"LKR 9,400.00","One of the Yarra Valley’s up and comers, the Punt Road Shiraz is almost black in colour with aromas of cassis and a whiff of licquorice. A palate of plush plums and blackcurrant follows with flash of peppery spice",-,-,Unspecified,Red Wine
JOSEPH DROUHIN NUITS SAINT GEORGES 750ML,"LKR 30,800.00","The Nuits-Saint-Georges offers a nose of powerful and noble aromas : cherry and blackberry, notes of cedar evolving towards a gamy style. A good balance on the palate between fullness and mellowness, with a very aromatic finish recalling the fruit syrups and sweet spices",-,-,750ML,Uncategorized
ZONIN VENTITERRE SOAVE DOC 750ML,"LKR 3,500.00",This Italian white wine from the northern region of Veneto is light and fresh with just a hint of floral lemony creaminess making it a perfect accompaniment to any antipasto seafood or lighter style pasta dish.,-,-,750ML,White Wine
ZUCCARDI SERIE A TORRONTES,"LKR 5,900.00","The Zuccardi Serie A Torrontes has been described by many of our customers as the ultimate summer patio wine, something that can be enjoyed on a sweltering night with family and friends. Since we’ve had quite a few of these lately, we’ve been pairing this native Argentine white with grilled fish, oysters, poultry, and soft cheeses",-,-,Unspecified,White Wine
BERNARD SERIES BV PINOTAGE 750 ML,"LKR 17,800.00","A sumptuous wine that is tremendously versatile with a variety of gastronomy including venison, duck, lamb and beef dishes.",-,-,750ML,Uncategorized
ZONIN VALPOLICELLA RIPASSO DOC 750ML,"LKR 7,000.00","This Valpolicella Superiore is extremely pleasing and balanced because it is obtained with the Ripasso, a traditional technique that promotes a second fermentation through the wine’s contact with dried grapes. This practice confers on the wine an intense colour, olfactory complexity and a wealth of extracts. It combines perfectly with savoury pastas and boiled and braised meats.",-,-,750ML,Uncategorized
BER.SERIES CHENIN BLANC 750 ML,"LKR 14,100.00","A luminescent gold wine with rambunctious fleshy peach, passion fruit, honey melon, papaya and pineapple fruit aromas layered with whiffs of oatmeal and crushed wheat that follow through with lavish concentrated fruit flavours from the nose – powerful yet accommodating on the palate with a discernible, yet seamless and subtle spicy oak complexity.",-,-,750ML,White Wine
PENFOLDS KOONUNGA HILL CHARDONNAY 750ML,"LKR 6,400.00","Experience the epitome of refinement with Penfolds Koonunga Hill Chardonnay. Crafted using Penfolds’ multi-region, multi-vineyard blending philosophy, this chardonnay captivates with its alluring aromas of honeydew melon, white peach, and a touch of zesty lemon/lime. With a fresh and easy-drinking character, this wine offers an array of complexities that unfold on the palate, culminating in a satisfying finish. Perfectly suited for any occasion, Penfolds Koonunga Hill Chardonnay pairs harmoniously with a variety of dishes, making it a versatile and elegant choice.",-,-,750ML,White Wine
JOSEPH DROUHIN CHABLIS PREMIER CRU 750ML,"LKR 19,100.00","A blend from four estate vineyards cultivated organically since 1990 and under biodynamics since 1999, this captures the pure Chablisenne essence of limestone. The pale marine earthiness is balanced by succulent fresh apple flavor, deepened by leesy scents of roasted hazelnuts and gingery spice. It’s broad rich and toasty, a complex young wine that will only gain with bottle age.",-,-,750ML,Uncategorized
TALL HORSE PINOTAGE 750ML,"LKR 4,500.00",Dark red colour with sweet black fruit flavours on the nose,-,-,750ML,Red Wine
